sender,receiver,metabolite,hmdb_id,sensor_gene,sensor_type,metabolite_availability,sensor_score,cell_mesh_score,perm_pvalue,fdr,confidence_tier,sender_n_cells,receiver_n_cells,sensor_expr_frac
Stromal cells,Immune cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.020833333333333332
Immune cells,Immune cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.020833333333333332
Malignant cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.03571428571428571
Stromal cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.03571428571428571
Immune cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.03571428571428571
Malignant cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,68,0.029411764705882353
Stromal cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,68,0.029411764705882353
Immune cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,68,0.029411764705882353
Immune cells,Stromal cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,68,0.029411764705882353
Stromal cells,Malignant cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.0
Immune cells,Malignant cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.0
Malignant cells,Stromal cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.6035866376147456,0.0,0.0,1.0,1.0,Tier3_exploratory,84,68,0.0
Stromal cells,Stromal cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,68,0.0
Immune cells,Stromal cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,68,0.0
Malignant cells,Immune cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.6035866376147456,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Stromal cells,Immune cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.0
Immune cells,Immune cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.0
Stromal cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,NR3C2,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.0
Stromal cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.08333333333333333
Immune cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.08333333333333333
Stromal cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.6941733615941067,0.0,1.0,1.0,Tier3_exploratory,68,68,0.1323529411764706
